,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
C0,0.0,3107.187001955128,3121.941773473827,7127.376353719724,6394.889246151569,9180.295077013618,3143.8357526834247,3038.402382468558,3354.0581480002247,1194.8776432590903,3302.963636021581,2994.173705238563,3121.0504031870278,3204.3473306107794,3555.3425482680977,1783.7516329087887,7696.012212359572,1881.7187786918278
C1,2344.2892588911714,0.0,152.32401049183977,4380.676190544707,3648.1890829765534,6591.982145489859,384.0372557144643,68.7846194865702,735.4660888916271,1802.635370320193,195.77663406645308,375.58164612996575,625.6091649440621,475.2870096765088,585.72478528611,1589.0854264614795,4717.456940008548,2343.7357755511816
C2,2628.10650526735,289.37589177543146,0.0,4343.911449789107,3611.424342220953,6555.217404734259,506.30760563194565,346.0079996072861,806.363583938059,2086.452616696372,344.9001499769381,514.5037216379677,727.790420357481,597.5573595939901,433.40077479427015,1872.9026728376584,4574.070438885745,2627.55302192736
C3,6381.592388038226,4342.032466662594,4313.63596720357,0.0,892.0032083538504,2446.511700940366,4231.870868737057,4410.817086149164,5052.971059292921,6120.140340721487,4397.556724864101,4693.08661653126,4848.345807677513,4323.120622699102,4292.517964775711,5626.388555608534,5230.5893760119325,6461.528735349979
C4,5666.296896811621,3639.8578492199213,3611.461349760898,882.1671633072547,0.0,3093.4731182524065,3529.696251294385,3708.6424687064914,4350.796441850248,5417.965723278814,3695.382107421428,3990.9119990885865,4146.171190234842,3620.9460052564295,3590.3433473330397,4911.093064381929,4808.904787048164,5746.233244123374
C5,5824.990724185013,3966.92459295788,3938.5280934988564,1424.0782372821745,665.1900857507301,0.0,3856.762995032344,4035.7092124444503,4677.863185588209,5745.032467016774,4022.448851159387,4317.978742826547,4473.2379339727995,3948.0127489943884,3917.410091070998,5069.786891755321,5350.815861023085,5904.927071496766
C6,2429.9233605554077,384.0372557144643,536.3612662063041,4270.514592619172,3538.027485051017,6481.8205475643235,0.0,452.8218752010345,821.1001905558634,1888.2694719844294,439.561513915971,461.215747794202,616.4749389404565,91.24975396204447,953.3581844900401,1674.719528125716,4607.295342083012,2429.369877215418
C7,2413.0738783777415,68.7846194865702,83.53939100526956,4427.450840794377,3694.9637332262228,6638.756795739529,452.8218752010345,0.0,804.2507083781973,1871.4199898067632,264.5612535530233,444.36626561653594,694.3937844306322,544.071629163079,516.9401657995397,1657.87004594805,4657.609829891015,2412.5203950377518
C8,2388.869817618719,777.6155569259972,792.3703284446965,5100.321204218032,4367.834096649878,7311.627159163184,829.8066115988597,708.830937439427,0.0,1847.2159290477407,973.3921909924503,376.45199104229624,213.3316726584033,738.5568576368153,1146.9249959281328,1633.6659851890274,5366.440767330441,2388.3163342787293
C9,1542.8251683063345,1930.8479485148453,1945.6027200335448,6238.011291862315,5505.5241842941605,8357.031327608613,1967.4966992431423,1862.0633290282751,2177.719094559941,0.0,2126.624582581298,1817.83465179828,1944.7113497467444,2028.0082771704965,2379.0034948278153,787.6213358766428,6519.673158919291,686.8411354327375
C10,2398.0251661923216,198.3192708459078,350.64328133774757,4436.2004487462145,3703.7133411780605,6647.506403691366,380.07356624593507,267.103890332478,789.2019961927773,1856.3712776213433,0.0,429.3175534311159,679.3450722452122,440.5851441732894,784.0440561320178,1642.8213337626298,4772.981198210055,2397.471682852332
C11,2186.1850896417836,486.57924626218903,501.3340177808884,4845.245467569996,4112.7583600018415,7056.551422515148,870.6165019766534,417.79462677561884,377.2755426785794,1644.5312010708053,682.3558803286422,0.0,298.70237909800136,823.9275640764133,855.8886852643249,1430.981257212092,5075.404456666633,2185.631606301794
C12,2279.012893671154,756.4512543470246,771.2060258657239,4886.989531559627,4154.502423991473,7098.295486504779,616.4749389404565,687.6666348604543,432.977640502648,1737.3590051001756,952.2278884134777,269.87200808483556,0.0,525.225184978412,1125.7606933491602,1523.8090612414621,5223.770281023469,2278.4594103311642
C13,2521.1731145174517,475.28700967650883,627.6110201683485,4361.764346581215,3629.2772390130613,6573.070301526367,91.24975396204448,544.071629163079,912.3499445179077,1979.5192259464734,530.8112678780155,552.4655017562463,525.2251849784119,0.0,1044.6079384520845,1765.9692820877601,4698.545096045056,2520.6196311774615
C14,3137.7020160724423,798.971402580524,509.5955108050925,4398.988183372071,3666.501075803917,6610.294138317223,1015.9031164370381,855.6035104123785,1315.9590947431511,2596.0481275014645,854.4956607820307,1024.0992324430601,1237.3859311625733,1107.1528703990825,0.0,2382.4981836427505,4629.147172468709,3137.1485327324526
C15,857.5560614800007,2290.5625128536417,2305.317284372341,6190.372325631216,5457.885218063061,8243.29104892511,2327.2112635819385,2221.7778933670716,2537.4336588987385,1352.2348961619293,2486.3391469200947,2177.549216137077,2304.4259140855415,2387.722841509293,2738.7180591666115,0.0,6879.387723258087,2039.0760315946668
C16,7010.594656066297,4690.832893436425,4547.446392313622,5387.693497280346,4803.081303710073,7598.999452225497,4580.671295510889,4759.617512922996,5353.809976251681,6468.940767495318,4746.3571516379325,5041.8870433050915,5197.146234451345,4671.921049472933,4526.3283898857635,6255.390823636605,0.0,7010.041172726306
C17,1839.15297247762,2400.114422963934,2414.8691944826332,6707.277766311404,5974.790658743249,8826.297802057701,2436.763173692231,2331.329803477364,2646.9855690090308,836.5564500257789,2595.891057030387,2287.101126247369,2413.977824195834,2497.2747516195855,2848.269969276904,1256.8878103257323,6988.93963336838,0.0
